,Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year"
191,Botswana,2018,3.4613657,9.680226326,0.794936001,58.90000153,0.817621112,-0.259084016,0.806945443,0.729643226,0.267083704,0.718788147,2.637892485,0.762095869,0.626,0.616160452
203,Brazil,2017,6.332929134,9.554174423,0.904694259,66.19999695,0.764792562,-0.184547558,0.794457376,0.715945125,0.307716906,0.16549027,2.530506134,0.399579108,0.547285714,0.39262256
204,Brazil,2018,6.190921783,9.557932854,0.881505251,66.40000153,0.75060904,-0.126326516,0.763251305,0.749727845,0.349656254,0.16818665,2.637867212,0.426086336,0.547285714,0.420397133
213,Bulgaria,2017,5.096901894,9.828942299,0.94175458,66.59999847,0.689047039,-0.156459168,0.910799742,0.614216745,0.188637346,0.326087952,1.852363825,0.363429368,0.354666667,0.343219519
214,Bulgaria,2018,5.098813534,9.873218536,0.923853278,66.80000305,0.724335909,-0.179109603,0.952014446,0.639021873,0.189090982,0.218995899,2.03750658,0.399604052,0.354666667,0.341206521
225,Burkina Faso,2017,4.646891117,7.440206528,0.784761369,53.40000153,0.613774717,-0.054843456,0.727451324,0.585172474,0.353821069,0.540656149,2.19759202,0.472916603,0.394666667,0.553144336
226,Burkina Faso,2018,4.92723608,7.47052002,0.664859474,53.90000153,0.720743477,-0.004381241,0.757398605,0.710883558,0.342865527,0.622255087,2.646069765,0.537029207,0.394666667,0.605102122
243,Cambodia,2017,4.585842133,8.201130867,0.765094936,61.20000076,0.963774681,0.085995324,0.821022928,0.798616648,0.40828383,0.752442479,2.732651472,0.595888674,0.383767564,0.545690596
244,Cambodia,2018,5.121837616,8.253352165,0.794605374,61.59999847,0.958304822,0.033786766,0.7278104,0.844592512,0.414345801,0.497776336,2.911452532,0.568439066,0.383767564,0.603439152
256,Cameroon,2017,5.07405138,8.121161461,0.69459641,51.90000153,0.766945004,-0.031570964,0.84358561,0.632338762,0.377498746,0.578775525,2.815224409,0.55482775,0.438333333,0.565237224
257,Cameroon,2018,5.250737667,8.133470535,0.676825225,52.70000076,0.816304982,0.032506917,0.884441614,0.642436504,0.355642408,0.6452263,2.921313524,0.55636251,0.438333333,0.521751046
269,Canada,2017,7.414868355,10.69234467,0.93374896,73.40000153,0.945145011,0.155016169,0.362034321,0.862773478,0.21798116,0.652735949,1.603363752,0.216236308,0.3368,0.601348937
270,Canada,2018,7.175496578,10.70124817,0.922718763,73.59999847,0.9457829,0.097966127,0.371740848,0.823668659,0.259397656,0.610466897,1.764457464,0.245900393,0.3368,0.46544224
287,Chad,2017,4.558937073,7.477691174,0.660615563,47.70000076,0.614849687,-0.004919504,0.792389929,0.627503157,0.53824544,0.473544389,2.880960464,0.631936908,0.4155,0.561519265
288,Chad,2018,4.486325264,7.472574711,0.57725358,48.20000076,0.650354564,0.011340086,0.762879312,0.552737296,0.543836236,0.57743603,3.107621431,0.692687511,0.4155,0.60765475
